review_id,age,age_group,brand,model,price_usd,price_category,rating,sentiment,review_text,country,language,source,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes
26336,36,30-39,Samsung,Galaxy A55,1223.32,Flagship,3,Positive,Design feels premium and stylish. No regrets buying this one.,Canada,English,BestBuy,1,1,3,1,2,2,5
28103,31,30-39,Samsung,Galaxy Note 20,1292.94,Flagship,2,Neutral,Sound quality is okay but not very loud. Average experience overall.,Brazil,Portuguese,Amazon,1,1,2,2,1,1,2
17524,41,40-49,OnePlus,OnePlus 12,649.9,Premium,1,Negative,"Phone hangs often, regret buying it. Returning this soon.",UAE,English,BestBuy,1,3,1,1,1,1,0
24713,32,30-39,OnePlus,OnePlus 12,564.02,Mid-Range,3,Neutral,"Design is okay, a bit bulky though. Fine but could be better.",Brazil,Portuguese,AliExpress,0,2,4,2,2,3,0
40486,18,18-29,Xiaomi,Mi 13 Pro,374.94,Mid-Range,2,Positive,Design feels premium and stylish. No regrets buying this one.,UK,English,AliExpress,1,1,4,1,1,2,1
3851,20,18-29,OnePlus,OnePlus 12,555.09,Mid-Range,3,Positive,Battery easily lasts a day with heavy use. Loving it so far!,UAE,English,eBay,0,3,1,3,3,1,7
40041,19,18-29,Xiaomi,Mi 13 Pro,216.74,Budget,4,Positive,Display is crisp and vibrant — perfect for gaming. No regrets buying this one.,Germany,German,BestBuy,1,3,4,3,3,4,4
15268,49,40-49,OnePlus,OnePlus Nord 3,742.91,Premium,3,Negative,Phone lags often after a few apps. Wouldn’t recommend.,UAE,English,BestBuy,1,2,5,2,2,3,3
49147,36,30-39,Google,Pixel 7a,808.25,Premium,4,Positive,Design feels premium and stylish. No regrets buying this one.,Germany,German,BestBuy,1,4,4,3,3,4,6
30002,22,18-29,Apple,iPhone 13,764.22,Premium,3,Neutral,"Phone is fine, not the best in this range. Fine but could be better.",Brazil,Portuguese,Flipkart,0,1,4,2,3,2,3
45927,18,18-29,Apple,iPhone 14,791.75,Premium,3,Neutral,"Phone is fine, not the best in this range. Fine but could be better.",UAE,English,BestBuy,1,2,3,2,2,1,3
43825,43,40-49,Google,Pixel 8,675.04,Premium,2,Neutral,Sound quality is okay but not very loud. Fine but could be better.,UAE,English,BestBuy,1,2,1,1,1,2,1
17241,38,30-39,Motorola,Moto G Power,739.07,Premium,2,Neutral,Software updates are delayed sometimes. Fine but could be better.,India,Hindi,Amazon,1,1,1,3,3,1,0
4893,55,50-59,Apple,iPhone 13,728.25,Premium,5,Positive,Design feels premium and stylish. No regrets buying this one.,UAE,English,Amazon,0,5,5,5,4,5,3
726,26,18-29,Google,Pixel 7a,1059.78,Flagship,5,Positive,Battery easily lasts a day with heavy use. Loving it so far!,USA,English,BestBuy,1,5,4,5,4,5,5
22950,27,18-29,Samsung,Galaxy A55,1185.83,Flagship,5,Positive,Smooth performance even after months of use. No regrets buying this one.,Brazil,Portuguese,AliExpress,1,4,5,2,5,3,9
34658,36,30-39,Motorola,Edge 50,406.44,Mid-Range,4,Neutral,Neutral feelings — neither great nor bad. Average experience overall.,India,Hindi,eBay,0,5,3,4,3,4,4
37214,19,18-29,Xiaomi,Mi 13 Pro,458.89,Mid-Range,4,Positive,Loving the clean UI and fast updates. No regrets buying this one.,UK,English,Amazon,1,3,4,3,5,3,2
20305,29,18-29,Realme,Realme 12 Pro,272.89,Budget,4,Positive,Smooth performance even after months of use. Best purchase of the year!,UK,English,Amazon,0,3,3,3,3,4,3
15270,35,30-39,OnePlus,OnePlus 11R,911.37,Premium,2,Neutral,Sound quality is okay but not very loud. Average experience overall.,UK,English,eBay,1,1,1,1,2,2,1
22368,39,30-39,Xiaomi,Redmi Note 13,281.43,Budget,2,Neutral,Neutral feelings — neither great nor bad. Okay for casual use.,Brazil,Portuguese,Flipkart,1,1,3,1,1,1,4
42685,18,18-29,OnePlus,OnePlus Nord 3,523.77,Mid-Range,2,Positive,Absolutely love this phone! The camera is next level. No regrets buying this one.,Brazil,Portuguese,AliExpress,0,3,1,1,1,1,4
46735,38,30-39,Apple,iPhone 14,1387.48,Flagship,3,Neutral,"Does what it’s supposed to, nothing special. Fine but could be better.",Canada,English,BestBuy,1,2,2,3,2,4,1
11733,22,18-29,Realme,Realme 12 Pro,282.75,Budget,5,Positive,Design feels premium and stylish. No regrets buying this one.,UK,English,eBay,1,5,3,5,5,5,4
18620,36,30-39,Google,Pixel 8,922.62,Premium,1,Negative,Customer service was disappointing. Not up to the mark.,India,Hindi,BestBuy,1,1,1,1,1,2,2
48493,19,18-29,Xiaomi,Redmi Note 13,511.71,Mid-Range,4,Positive,Build quality feels solid and durable. No regrets buying this one.,Germany,German,Amazon,0,2,3,5,3,4,8
26804,36,30-39,Realme,Realme 12 Pro,278.72,Budget,3,Positive,"Face unlock is instant, super smooth. Loving it so far!",India,Hindi,Amazon,1,2,2,4,4,1,6
44306,30,30-39,Google,Pixel 8,905.46,Premium,3,Positive,Smooth performance even after months of use. Best purchase of the year!,UAE,English,AliExpress,1,2,3,2,2,3,5
47523,34,30-39,Apple,iPhone 15 Pro,1026.15,Flagship,2,Neutral,Not bad for daily use but could be optimized. Okay for casual use.,Canada,English,BestBuy,1,1,2,1,2,2,0
32208,42,40-49,Xiaomi,Poco X6,593.81,Mid-Range,5,Positive,Battery easily lasts a day with heavy use. No regrets buying this one.,Australia,English,Amazon,1,4,3,5,5,4,5
2531,35,30-39,Google,Pixel 8,873.18,Premium,3,Positive,Design feels premium and stylish. Loving it so far!,Brazil,Portuguese,Flipkart,0,1,5,1,3,2,5
17747,33,30-39,Samsung,Galaxy Note 20,890.76,Premium,4,Positive,Design feels premium and stylish. Best purchase of the year!,India,Hindi,BestBuy,1,3,5,3,2,4,7
8271,46,40-49,Apple,iPhone 13,1192.89,Flagship,4,Neutral,Battery life could be slightly better. Okay for casual use.,India,Hindi,Flipkart,0,4,1,2,3,2,1
15080,38,30-39,Realme,Realme 12 Pro,401.38,Mid-Range,1,Neutral,Neutral feelings — neither great nor bad. Average experience overall.,Brazil,Portuguese,eBay,1,1,1,1,2,1,0
13625,18,18-29,Xiaomi,Poco X6,330.74,Mid-Range,2,Negative,Phone lags often after a few apps. Wouldn’t recommend.,Brazil,Portuguese,BestBuy,0,1,2,1,2,1,1
30639,26,18-29,Realme,Realme 12 Pro,396.7,Mid-Range,3,Positive,Display is crisp and vibrant — perfect for gaming. No regrets buying this one.,Australia,English,Flipkart,1,2,3,3,3,1,4
30441,47,40-49,Motorola,Razr 40,421.56,Mid-Range,3,Negative,"Phone hangs often, regret buying it. Returning this soon.",UK,English,BestBuy,1,2,1,2,2,2,1
36057,27,18-29,Apple,iPhone 14,1422.26,Flagship,4,Positive,Loving the clean UI and fast updates. Absolutely worth it!,Australia,English,eBay,1,5,4,4,4,5,3
42652,18,18-29,Apple,iPhone 15 Pro,725.92,Premium,2,Negative,Not worth the money spent. Very disappointed.,Australia,English,Flipkart,0,2,1,2,2,1,3
36804,30,30-39,Xiaomi,Poco X6,697.85,Premium,1,Neutral,Not bad for daily use but could be optimized. Okay for casual use.,UK,English,eBay,0,1,1,1,1,1,0
48225,39,30-39,Motorola,Razr 40,592.12,Mid-Range,5,Positive,Fast charging is a lifesaver. Loving it so far!,USA,English,Flipkart,1,4,5,3,5,3,3
29227,27,18-29,Samsung,Galaxy S24,1091.86,Flagship,1,Neutral,Battery life could be slightly better. Average experience overall.,Brazil,Portuguese,BestBuy,1,1,1,1,2,1,1
5634,41,40-49,Apple,iPhone SE,751.82,Premium,2,Negative,Speaker quality is bad and muffled. Wouldn’t recommend.,Australia,English,BestBuy,0,1,1,2,4,1,2
5988,47,40-49,Apple,iPhone 15 Pro,745.61,Premium,5,Positive,Loving the clean UI and fast updates. Best purchase of the year!,UK,English,BestBuy,0,5,5,5,5,5,4
48064,30,30-39,Realme,Realme Narzo 70,340.4,Mid-Range,2,Neutral,"Phone is fine, not the best in this range. Okay for casual use.",Brazil,Portuguese,Amazon,1,1,2,2,3,2,2
1813,18,18-29,Samsung,Galaxy Note 20,1076.78,Flagship,4,Positive,Build quality feels solid and durable. No regrets buying this one.,Canada,English,BestBuy,1,3,3,3,3,2,5
27579,29,18-29,Apple,iPhone SE,1046.07,Flagship,4,Positive,Worth every penny. Highly recommended! Loving it so far!,India,Hindi,BestBuy,1,4,3,4,4,5,1
16824,36,30-39,Google,Pixel 7a,930.13,Premium,4,Neutral,Sound quality is okay but not very loud. Fine but could be better.,Germany,German,BestBuy,1,3,5,4,3,4,0
3929,33,30-39,Realme,Realme Narzo 70,433.67,Mid-Range,2,Negative,Display started flickering after a month. Wouldn’t recommend.,Canada,English,Flipkart,1,1,2,4,2,3,2
37287,40,40-49,Realme,Realme Narzo 70,438.55,Mid-Range,2,Neutral,"Design is okay, a bit bulky though. Okay for casual use.",Germany,German,Amazon,1,2,1,1,1,3,4
25046,21,18-29,OnePlus,OnePlus Nord 3,736.41,Premium,5,Positive,Worth every penny. Highly recommended! Loving it so far!,Canada,English,AliExpress,1,4,4,2,4,5,2
15728,18,18-29,Google,Pixel 8,502.88,Mid-Range,2,Neutral,Neutral feelings — neither great nor bad. Average experience overall.,USA,English,eBay,1,2,1,1,1,1,2
29601,18,18-29,Google,Pixel 8,967.05,Premium,4,Positive,Fast charging is a lifesaver. Absolutely worth it!,Germany,German,Amazon,0,4,3,4,3,3,6
10431,52,50-59,Google,Pixel 6,1081.27,Flagship,1,Neutral,Not bad for daily use but could be optimized. Fine but could be better.,Australia,English,Amazon,1,1,1,1,1,1,3
25769,34,30-39,Samsung,Galaxy Z Flip,587.53,Mid-Range,1,Negative,Display started flickering after a month. Very disappointed.,India,Hindi,Amazon,1,1,1,1,1,1,1
29104,18,18-29,Samsung,Galaxy S24,1111.96,Flagship,3,Neutral,"Phone is fine, not the best in this range. Average experience overall.",India,Hindi,BestBuy,0,3,4,4,3,2,2
36538,30,30-39,Samsung,Galaxy A55,885.3,Premium,3,Positive,Design feels premium and stylish. Best purchase of the year!,Brazil,Portuguese,BestBuy,1,3,3,4,3,3,8
39329,29,18-29,Apple,iPhone 15 Pro,1167.31,Flagship,2,Negative,Charging is very slow compared to other brands. Returning this soon.,UAE,English,BestBuy,1,1,1,1,2,2,4
35540,45,40-49,Samsung,Galaxy S24,1397.24,Flagship,3,Positive,Fast charging is a lifesaver. No regrets buying this one.,UAE,English,Amazon,1,1,4,3,3,3,8
28076,29,18-29,Motorola,Moto G Power,401.0,Mid-Range,1,Negative,Display started flickering after a month. Not up to the mark.,Australia,English,Amazon,1,1,1,2,1,1,1
17841,35,30-39,Google,Pixel 7a,1059.24,Flagship,4,Positive,Fast charging is a lifesaver. No regrets buying this one.,UAE,English,BestBuy,1,3,5,5,5,5,3
27803,39,30-39,Samsung,Galaxy S24,873.18,Premium,5,Positive,Worth every penny. Highly recommended! Best purchase of the year!,Brazil,Portuguese,BestBuy,1,3,4,4,3,5,3
7683,30,30-39,OnePlus,OnePlus Nord 3,355.47,Mid-Range,3,Neutral,"Performance is average, camera okay. Fine but could be better.",UAE,English,AliExpress,1,2,2,3,3,1,0
24280,32,30-39,Google,Pixel 7a,605.26,Premium,1,Negative,Camera quality is very poor indoors. Not up to the mark.,Germany,German,eBay,1,1,1,2,1,1,1
33071,37,30-39,OnePlus,OnePlus 12,367.89,Mid-Range,3,Positive,Smooth performance even after months of use. Absolutely worth it!,India,Hindi,AliExpress,1,3,3,2,3,2,6
35558,28,18-29,OnePlus,OnePlus 11R,536.88,Mid-Range,4,Positive,Smooth performance even after months of use. Absolutely worth it!,UK,English,Amazon,1,4,3,5,4,3,5
37190,24,18-29,Apple,iPhone 14,1468.33,Flagship,4,Positive,Loving the clean UI and fast updates. Best purchase of the year!,Brazil,Portuguese,eBay,1,3,4,3,3,3,7
47150,18,18-29,Samsung,Galaxy Note 20,454.05,Mid-Range,4,Positive,Build quality feels solid and durable. Loving it so far!,Brazil,Portuguese,AliExpress,1,4,3,4,2,4,4
46916,18,18-29,Realme,Realme 12 Pro,429.25,Mid-Range,5,Positive,Smooth performance even after months of use. No regrets buying this one.,USA,English,eBay,1,5,5,3,3,5,3
9802,41,40-49,Samsung,Galaxy S24,1036.83,Flagship,3,Positive,"Face unlock is instant, super smooth. No regrets buying this one.",Canada,English,BestBuy,0,3,4,3,3,2,4
38801,18,18-29,Google,Pixel 7a,752.39,Premium,4,Neutral,"Phone is fine, not the best in this range. Fine but could be better.",Australia,English,BestBuy,1,3,2,3,2,3,3
24670,44,40-49,Motorola,Moto G Power,325.99,Mid-Range,4,Positive,Build quality feels solid and durable. Best purchase of the year!,Canada,English,Flipkart,0,3,3,3,3,3,7
44234,38,30-39,Google,Pixel 8,925.39,Premium,3,Neutral,"Phone is fine, not the best in this range. Average experience overall.",Brazil,Portuguese,Flipkart,0,3,2,1,3,3,3
31920,19,18-29,Apple,iPhone 14,1484.17,Flagship,5,Positive,Fast charging is a lifesaver. No regrets buying this one.,USA,English,AliExpress,1,3,5,2,4,5,10
7135,25,18-29,Xiaomi,Poco X6,549.71,Mid-Range,4,Positive,Design feels premium and stylish. Best purchase of the year!,Australia,English,Flipkart,1,5,3,3,4,4,5
33705,26,18-29,Realme,Realme Narzo 70,538.4,Mid-Range,2,Negative,Battery drains too fast even on standby. Wouldn’t recommend.,USA,English,BestBuy,1,2,1,1,3,1,3
29661,24,18-29,Xiaomi,Mi 13 Pro,242.55,Budget,3,Neutral,"Phone is fine, not the best in this range. Average experience overall.",USA,English,Flipkart,0,3,3,2,3,2,2
17894,40,40-49,Xiaomi,Mi 13 Pro,453.03,Mid-Range,5,Positive,Loving the clean UI and fast updates. Absolutely worth it!,Germany,German,Flipkart,1,3,5,4,5,3,4
22019,26,18-29,Google,Pixel 7a,955.17,Premium,5,Positive,Design feels premium and stylish. Loving it so far!,Canada,English,AliExpress,1,4,5,4,4,5,8
13539,45,40-49,Apple,iPhone SE,1074.62,Flagship,2,Neutral,"Phone is fine, not the best in this range. Fine but could be better.",UAE,English,BestBuy,1,3,3,1,2,1,1
43119,35,30-39,Motorola,Moto G Power,393.15,Mid-Range,3,Positive,Smooth performance even after months of use. No regrets buying this one.,Australia,English,AliExpress,1,3,2,3,4,3,8
36421,30,30-39,Samsung,Galaxy Z Flip,1182.69,Flagship,2,Negative,Speaker quality is bad and muffled. Very disappointed.,Germany,German,Flipkart,1,1,3,1,3,2,2
9406,21,18-29,Apple,iPhone 14,1304.83,Flagship,1,Negative,"Phone hangs often, regret buying it. Not up to the mark.",India,Hindi,eBay,1,1,1,1,1,1,1
13414,18,18-29,Motorola,Moto G Power,242.82,Budget,1,Neutral,"Performance is average, camera okay. Fine but could be better.",Australia,English,Flipkart,0,3,1,1,1,1,0
6721,30,30-39,Xiaomi,Mi 13 Pro,619.91,Premium,4,Positive,Smooth performance even after months of use. Loving it so far!,USA,English,BestBuy,1,5,4,4,3,5,8
15602,35,30-39,Xiaomi,Mi 13 Pro,506.23,Mid-Range,3,Neutral,"Phone is fine, not the best in this range. Okay for casual use.",UK,English,BestBuy,1,3,2,3,3,2,1
44744,43,40-49,Xiaomi,Mi 13 Pro,428.81,Mid-Range,5,Positive,Absolutely love this phone! The camera is next level. Absolutely worth it!,Canada,English,Amazon,1,4,5,4,5,4,7
31139,35,30-39,Google,Pixel 8,895.52,Premium,3,Neutral,Neutral feelings — neither great nor bad. Average experience overall.,Canada,English,Amazon,1,4,2,2,2,4,2
2730,18,18-29,Apple,iPhone 15 Pro,1364.26,Flagship,4,Positive,Battery easily lasts a day with heavy use. Absolutely worth it!,UK,English,Flipkart,1,5,2,2,4,4,9
38243,19,18-29,Xiaomi,Poco X6,223.4,Budget,5,Positive,"Face unlock is instant, super smooth. Absolutely worth it!",UK,English,AliExpress,1,5,4,5,3,4,6
29626,36,30-39,Xiaomi,Redmi Note 13,467.45,Mid-Range,3,Neutral,Software updates are delayed sometimes. Fine but could be better.,USA,English,eBay,1,2,3,3,2,4,2
47895,36,30-39,OnePlus,OnePlus Nord 3,916.25,Premium,4,Positive,Fast charging is a lifesaver. Loving it so far!,India,Hindi,BestBuy,0,3,3,4,3,3,6
42091,27,18-29,Samsung,Galaxy A55,1338.88,Flagship,5,Positive,Display is crisp and vibrant — perfect for gaming. Best purchase of the year!,Brazil,Portuguese,eBay,1,5,5,5,5,4,3
36400,27,18-29,Google,Pixel 6,829.82,Premium,4,Positive,Build quality feels solid and durable. Loving it so far!,Australia,English,Amazon,1,2,4,4,3,4,4
6245,39,30-39,Google,Pixel 6,512.95,Mid-Range,3,Negative,Camera quality is very poor indoors. Wouldn’t recommend.,Canada,English,Amazon,0,3,2,2,3,2,3
5546,39,30-39,OnePlus,OnePlus Nord 3,913.86,Premium,4,Positive,Design feels premium and stylish. Absolutely worth it!,UAE,English,BestBuy,0,3,3,4,4,2,7
4065,28,18-29,Motorola,Moto G Power,431.76,Mid-Range,5,Positive,Design feels premium and stylish. Loving it so far!,Australia,English,eBay,1,4,4,5,3,4,4
12852,21,18-29,Xiaomi,Redmi Note 13,575.33,Mid-Range,1,Negative,Charging is very slow compared to other brands. Wouldn’t recommend.,UAE,English,AliExpress,1,1,1,2,1,1,1
21803,28,18-29,Apple,iPhone 14,752.74,Premium,4,Positive,Display is crisp and vibrant — perfect for gaming. Best purchase of the year!,India,Hindi,Amazon,1,3,3,4,4,4,8
41164,32,30-39,Apple,iPhone SE,1490.06,Flagship,3,Positive,"Face unlock is instant, super smooth. Best purchase of the year!",Brazil,Portuguese,eBay,0,3,3,3,1,3,7
6233,22,18-29,Motorola,Moto G Power,459.26,Mid-Range,3,Positive,Build quality feels solid and durable. Best purchase of the year!,India,Hindi,AliExpress,0,2,2,5,2,4,3
3863,21,18-29,Realme,Realme Narzo 70,532.92,Mid-Range,1,Negative,Charging is very slow compared to other brands. Not up to the mark.,Brazil,Portuguese,eBay,0,1,1,1,1,1,2
35095,33,30-39,Samsung,Galaxy S24,1338.49,Flagship,2,Positive,"Face unlock is instant, super smooth. No regrets buying this one.",Brazil,Portuguese,AliExpress,0,4,1,2,2,1,3
40196,41,40-49,Realme,Realme Narzo 70,492.58,Mid-Range,4,Positive,Battery easily lasts a day with heavy use. Loving it so far!,Canada,English,BestBuy,1,3,1,4,4,3,2
39251,32,30-39,Realme,Realme Narzo 70,512.35,Mid-Range,4,Positive,Worth every penny. Highly recommended! Best purchase of the year!,USA,English,BestBuy,1,5,4,5,1,4,2
6218,38,30-39,OnePlus,OnePlus 11R,885.73,Premium,4,Positive,Worth every penny. Highly recommended! Best purchase of the year!,Brazil,Portuguese,eBay,0,1,3,4,4,3,4
36776,25,18-29,Samsung,Galaxy Z Flip,947.04,Premium,3,Positive,Design feels premium and stylish. Loving it so far!,Brazil,Portuguese,BestBuy,1,3,2,3,2,4,3
42977,27,18-29,Google,Pixel 8,565.5,Mid-Range,1,Negative,"Phone hangs often, regret buying it. Returning this soon.",Canada,English,eBay,1,2,1,2,1,1,1
48468,18,18-29,Realme,Realme Narzo 70,328.03,Mid-Range,4,Positive,Display is crisp and vibrant — perfect for gaming. Absolutely worth it!,Canada,English,AliExpress,1,3,4,2,5,5,5
14832,28,18-29,Samsung,Galaxy Z Flip,1070.05,Flagship,4,Positive,Worth every penny. Highly recommended! Loving it so far!,Germany,German,Flipkart,1,1,2,5,2,2,9
30093,18,18-29,Apple,iPhone 13,710.24,Premium,2,Neutral,"Overall decent, but expected a bit more for the price. Average experience overall.",UK,English,Flipkart,1,1,3,1,2,1,2
